time_oslo,artist,title,spotify,youtube
2026-08-28 16:08:51,Sting,Fields Of Gold,spotify:track:1VI7sH93UcY0stZYVqvMoH,https://www.youtube.com/watch?v=KLVq0IAzh1A&feature=youtube_gdata_player
2026-08-28 16:14:05,Ulf Lundell,Öppna Landskap,spotify:track:1rudppuYTKpVCtWoocDiS1,https://www.youtube.com/watch?v=uuOUev9EgI8&feature=youtube_gdata_player
2026-08-28 16:18:36,Elton John,Candle In The Wind,spotifyv2-ZZ:track:spotify:track:3UhnMyiGYB7tqqJY7yNFKT,https://www.youtube.com/watch?v=NoOhnrjdYOc
2026-08-28 16:23:09,Halvdan Sivertsen,Sommerfuggel I Vinterland,spotify:track:2H9Csy75rOVfA62zpBmkzU,https://www.youtube.com/watch?v=tR5TFQh2eMc&feature=youtube_gdata_player
2026-08-28 16:27:59,The Beatles,Yesterday,spotify:track:70amysvQ129AXb29wbPQPf,https://www.youtube.com/watch?v=XNnaxGFO18o&feature=youtube_gdata_player
2026-08-28 16:34:55,John Williams,"Cavatina (Tema fra ""Hjortejegern"")",,
2026-08-28 16:38:59,Josh Groban,You Raise Me Up,spotify:track:45BmeITuhHgg5iWCAAaU7P,https://www.youtube.com/watch?v=aJxrX42WcjQ&feature=youtube_gdata_player
2026-08-28 16:42:53,Eric Clapton,Tears In Heaven,spotify:track:1kgdslQYmeTR4thk9whoRw,https://www.youtube.com/watch?v=VRsJlAJvOSM&feature=youtube_gdata_player
2026-08-28 16:47:42,Sigvart Dagsland,Alt Eg Såg,spotify:track:168nBsOxoW98xI9RzIRw7K,https://www.youtube.com/watch?v=Wnq-S14TtuY&feature=youtube_gdata_player
2026-08-28 16:51:55,Susan Boyle,Amazing Grace,,https://www.youtube.com/watch?v=A0gLntLIBYw
2026-08-28 16:55:24,Jahn Teigen,Det vakreste som fins,spotify:track:540RHDIFG7xAtbYS0ay42d,https://www.youtube.com/watch?v=r9eL8IRt4Kw&feature=youtube_gdata_player
2026-08-28 17:04:54,Joe Cocker,You Are So Beautiful,spotify:track:3cceeA8rQt6pOCIrAil1Zg,https://www.youtube.com/watch?v=wlDmslyGmGI&feature=youtube_gdata_player
2026-08-28 17:07:29,Carola,Blott En Dag,,https://www.youtube.com/watch?v=HooqAe8Ntb0
2026-08-28 17:13:54,Sissel Kyrkjebø,Innerst i sjelen,,https://www.youtube.com/watch?v=gEdZKDJB-aY&feature=youtube_gdata_player
2026-08-28 17:17:44,Herborg Kråkevik,Den Fyrste Song,,https://www.youtube.com/watch?v=IgoVoL6AW6s
2026-08-28 17:22:41,Helen Sjöholm & Stefan Nilsson,Gabriellas Sång,,https://www.youtube.com/watch?v=GGrVcD3rmVI
2026-08-28 17:26:18,Elvis Presley with the Royal Philharmonic Orchestra,Always on My Mind,,https://www.youtube.com/watch?v=Yf2KtxEtsEM
2026-08-28 17:34:17,Bjørn Eidsvåg,Evig hvile,,https://www.youtube.com/watch?v=O0aV5ncIVzY
2026-08-28 17:38:26,Frank Sinatra,My Way,spotify:track:0hMFKOq7kqWaoc1TvfWd7k,https://www.youtube.com/watch?v=6E2hYDIFDIU&feature=youtube_gdata_player
2026-08-28 17:44:05,Vamp,Tir n'a noir,spotify:track:1btqjLUJDczAOkDqL4vpFn,https://www.youtube.com/watch?v=cfGPz2sVw4E&feature=youtube_gdata_player
2026-08-28 17:48:28,R.E.M.,Everybody Hurts,spotify:track:2CLLsEF6qzl6fnzS9LqZzN,https://www.youtube.com/watch?v=ijZRCIrTgQc&feature=youtube_gdata_player
2026-08-28 17:54:20,Jonas Fjeld & Lynni Treekrem,Engler I Sneen,,https://www.youtube.com/watch?v=_46wnWOECck&feature=youtube_gdata_player
2026-08-28 18:04:11,Tommy Nilsson,Öppna Din Dörr,spotify:track:2c0mjg1Ori1ZqVyU1kp6Q1,https://www.youtube.com/watch?v=JlK1H2_aBh8&feature=youtube_gdata_player
2026-08-28 18:08:13,Adele,Someone Like You,spotify:track:6QPKYGnAW9QozVz2dSWqRg,https://www.youtube.com/watch?v=hLQl3WQQoQ0&feature=youtube_gdata_player
2026-08-28 18:12:51,Katie Melua,I Cried For You,spotify:track:3EccJBbX03Apfpbh4Cvhmv,https://www.youtube.com/watch?v=4Fr5-16ZnPM&feature=youtube_gdata_player
2026-08-28 18:17:44,Anne Grete Preus,Når Himmelen Faller Ned,spotify:track:5aasUgkPxYhqKcxmNLotmH,https://www.youtube.com/watch?v=5j6M1i9rW1s&feature=youtube_gdata_player
2026-08-28 18:21:31,Josh Groban,Ave Maria,spotify:track:7grcyKyYbHzb81Y1dGkh8y,https://www.youtube.com/watch?v=Cgyy8u3zcf8&feature=youtube_gdata_player
2026-08-28 18:28:26,Bruce Springsteen,My Hometown,spotify:track:3wJLGGWRy72Du2seu71JzQ,https://www.youtube.com/watch?v=77gKSp8WoRg&feature=youtube_gdata_player
2026-08-28 18:32:27,Simon & Garfunkel,Bridge Over Troubled Water,spotify:track:0wqrXvy9UI8s4PVi954MTw,https://www.youtube.com/watch?v=H_a46WJ1viA&feature=youtube_gdata_player
2026-08-28 18:38:11,Michael Bolton,How Am I Supposed To Live Without You,spotify:track:5VtKXGf7p6FfbD3uUVrOHJ,https://www.youtube.com/watch?v=YFood_bTOX4&feature=youtube_gdata_player
2026-08-28 18:45:57,Céline Dion,All By Myself,spotify:track:4n9e8Nx2FijSDVoumQwXPW,https://www.youtube.com/watch?v=NGrLb6W5YOM&feature=youtube_gdata_player
2026-08-28 18:50:10,The Beatles,Let It Be,spotify:track:6nV1jGpMmpGKrnbVyTB6H9,https://www.youtube.com/watch?v=0714IbwC3HA&feature=youtube_gdata_player
2026-08-28 18:56:18,Westlife,Flying Without Wings,spotify:track:30ngg6jCMqOBcvj5fLgfBe,https://www.youtube.com/watch?v=heEdqbVmytM&feature=youtube_gdata_player
2026-08-28 19:03:56,D.D.E.,Vinsjan på kaia,spotify:track:0rGmVnFoc1BVo3QuaZvyFA,https://www.youtube.com/watch?v=t_ax8xoDNOs&feature=youtube_gdata_player
2026-08-28 19:07:57,Peter Gabriel & Kate Bush,Don't Give Up,,https://www.youtube.com/watch?v=VjEq-r2agqc&feature=youtube_gdata_player
2026-08-28 19:12:01,Norah Jones,Don't Know Why,spotify:track:6IT4mjY8fIW2yLNCGsiVNn,https://www.youtube.com/watch?v=tO4dxvguQDk&feature=youtube_gdata_player
2026-08-28 19:15:00,Cyndi Lauper,True Colors,spotify:track:2A6yzRGMgSQCUapR2ptm6A,https://www.youtube.com/watch?v=LPn0KFlbqX8&feature=youtube_gdata_player
2026-08-28 19:18:38,Marit Larsen,Vår Beste Dag,spotify:track:2RssYUkYzmEtvxmUX0C19A,https://www.youtube.com/watch?v=byrBsfMsPmY&feature=youtube_gdata_player
2026-08-28 19:22:55,Susan Boyle,Memory,,https://www.youtube.com/watch?v=PQWJ_qJ1unc
2026-08-28 19:26:56,Alan Parsons,Brother Up In Heaven,spotify:track:430CFHOzHLzAS6uSBK4HhU,https://www.youtube.com/watch?v=yOz1rLR5WOk&feature=youtube_gdata_player
2026-08-28 19:33:49,Emma Steinbakken,Jeg glemmer deg aldri (fra Rådebank),,https://www.youtube.com/watch?v=dys15rYMTfw
2026-08-28 19:37:15,Patrick Swayze,She's Like The Wind,spotify:track:5hWJivioQyC8p2aYDL61mu,https://www.youtube.com/watch?v=0Gbz-Lau5tc&feature=youtube_gdata_player
2026-08-28 19:40:58,Savage Garden,I Knew I Loved You,spotify:track:2RlDfLi8yaTONnh5jFfwba,https://www.youtube.com/watch?v=jjnmICxvoVY&feature=youtube_gdata_player
2026-08-28 19:45:27,Kari Bremnes,E Du Nord,,https://www.youtube.com/watch?v=kS4xw6CH_yc
2026-08-28 19:50:27,Bill Withers,Ain't No Sunshine,spotify:track:51qqMJpiTJxdFe3cN5PT7F,https://www.youtube.com/watch?v=tIdIqbv7SPo&feature=youtube_gdata_player
2026-08-28 19:54:06,Brian May & Kerry Ellis,Can't Help Falling in Love,,https://www.youtube.com/watch?v=KQSq5UlZXXY
2026-08-28 19:57:12,Ellie Goulding,How Long Will I Love You,spotify:track:2C9O93aAez8keuhxp6rSTJ,
2026-08-28 20:04:16,George Michael,A Different Corner,spotify:track:0rccl5Uy9vojxmoRgO7hAT,https://www.youtube.com/watch?v=IPWHkK-_a_A&feature=youtube_gdata_player
2026-08-28 20:08:11,Adele,Hello,spotifyv2-ZZ:track:spotify:track:193O4vZOZvdx7vrfZpfs37,https://www.youtube.com/watch?v=YQHsXMglC9A
2026-08-28 20:13:03,Kurt Nilsen & Helene Bøksle,Gje Me Handa Di Venn,,https://www.youtube.com/watch?v=bPtVeIbAbs4
2026-08-28 20:16:38,Phil Collins,In The Air Tonight,spotify:track:1ab1eyzFZtknjrDPChiX6I,https://www.youtube.com/watch?v=YkADj0TPrJA&feature=youtube_gdata_player
2026-08-28 20:22:02,Eva Cassidy,Over The Rainbow,spotify:track:2HmyD46ScWHArRYIFiF8XS,https://www.youtube.com/watch?v=4RDmXsGeiF8&feature=youtube_gdata_player
2026-08-28 20:28:48,Josh Groban,You Raise Me Up,spotify:track:45BmeITuhHgg5iWCAAaU7P,https://www.youtube.com/watch?v=aJxrX42WcjQ&feature=youtube_gdata_player
2026-08-28 20:32:43,Sting,Shape Of My Heart,spotify:track:5TrvGxuqaYKsF7C0NfrLrY,https://www.youtube.com/watch?v=037uSAIahho&feature=youtube_gdata_player
2026-08-28 20:37:13,Bjørn Eidsvåg,Eg Ser,spotify:track:0U44H4Ok510flMt8bypiwM,https://www.youtube.com/watch?v=qYnzDqJqGwM&feature=youtube_gdata_player
2026-08-28 20:42:35,Michael Bublé,Home,spotify:track:33jXsphcSnC0bGW6EXGuC9,https://www.youtube.com/watch?v=lbSOLBMUvIE&feature=youtube_gdata_player
2026-08-28 20:46:12,Eric Clapton,Tears In Heaven,spotify:track:1kgdslQYmeTR4thk9whoRw,https://www.youtube.com/watch?v=VRsJlAJvOSM&feature=youtube_gdata_player
2026-08-28 20:52:20,Elton John,Candle In The Wind,spotifyv2-ZZ:track:spotify:track:3UhnMyiGYB7tqqJY7yNFKT,https://www.youtube.com/watch?v=NoOhnrjdYOc
2026-08-28 20:56:02,Roxette,Spending My Time,spotify:track:1rR3gtSx2gA9Dg99s2OPsm,https://www.youtube.com/watch?v=eG0IYV6G0I0&feature=youtube_gdata_player
2026-08-28 21:02:47,Susan Boyle,Amazing Grace,,https://www.youtube.com/watch?v=A0gLntLIBYw
